日期,收盘价
2005/2/23,0.876
2005/2/24,0.876
2005/2/25,0.88
2005/2/28,0.872
2005/3/1,0.867
2005/3/2,0.859
2005/3/3,0.859
2005/3/4,0.86
2005/3/7,0.862
2005/3/8,0.874
2005/3/9,0.873
2005/3/10,0.853
2005/3/11,0.855
2005/3/14,0.857
2005/3/15,0.843
2005/3/16,0.834
2005/3/17,0.828
2005/3/18,0.824
2005/3/21,0.824
2005/3/22,0.808
2005/3/23,0.804
2005/3/24,0.806
2005/3/25,0.805
2005/3/28,0.802
2005/3/29,0.805
2005/3/30,0.793
2005/3/31,0.794
2005/4/1,0.829
2005/4/4,0.81
2005/4/5,0.805
2005/4/6,0.818
2005/4/7,0.824
2005/4/8,0.836
2005/4/11,0.83
2005/4/12,0.821
2005/4/13,0.84
2005/4/14,0.828
2005/4/15,0.818
2005/4/18,0.808
2005/4/19,0.811
2005/4/20,0.797
2005/4/21,0.797
2005/4/22,0.798
2005/4/25,0.79
2005/4/26,0.793
2005/4/27,0.788
2005/4/28,0.797
2005/4/29,0.788
2005/5/9,0.78
2005/5/10,0.783
2005/5/11,0.777
2005/5/12,0.76
2005/5/13,0.762
2005/5/16,0.75
2005/5/17,0.754
2005/5/18,0.755
2005/5/19,0.755
2005/5/20,0.757
2005/5/23,0.743
2005/5/24,0.741
2005/5/25,0.743
2005/5/26,0.736
2005/5/27,0.73
2005/5/30,0.736
2005/5/31,0.738
2005/6/1,0.726
2005/6/2,0.707
2005/6/3,0.705
2005/6/6,0.72
2005/6/7,0.72
2005/6/8,0.781
2005/6/9,0.789
2005/6/10,0.775
2005/6/13,0.774
2005/6/14,0.768
2005/6/15,0.755
2005/6/16,0.766
2005/6/17,0.772
2005/6/20,0.804
2005/6/21,0.794
2005/6/22,0.798
2005/6/23,0.794
2005/6/24,0.794
2005/6/27,0.808
2005/6/28,0.802
2005/6/29,0.791
2005/6/30,0.769
2005/7/1,0.767
2005/7/4,0.761
2005/7/5,0.754
2005/7/6,0.75
2005/7/7,0.75
2005/7/8,0.743
2005/7/11,0.741
2005/7/12,0.772
2005/7/13,0.765
2005/7/14,0.768
2005/7/15,0.766
2005/7/18,0.764
2005/7/19,0.763
2005/7/20,0.772
2005/7/21,0.775
2005/7/22,0.787
2005/7/25,0.784
2005/7/26,0.796
2005/7/27,0.803
2005/7/28,0.799
2005/7/29,0.797
2005/8/1,0.798
2005/8/2,0.805
2005/8/3,0.807
2005/8/4,0.805
2005/8/5,0.827
2005/8/8,0.828
2005/8/9,0.829
2005/8/10,0.83
2005/8/11,0.84
2005/8/12,0.836
2005/8/15,0.854
2005/8/16,0.839
2005/8/17,0.85
2005/8/18,0.824
2005/8/19,0.83
2005/8/22,0.836
2005/8/23,0.83
2005/8/24,0.84
2005/8/25,0.84
2005/8/26,0.84
2005/8/29,0.83
2005/8/30,0.826
2005/8/31,0.835
2005/9/1,0.844
2005/9/2,0.845
2005/9/5,0.845
2005/9/6,0.834
2005/9/7,0.839
2005/9/8,0.841
2005/9/9,0.841
2005/9/12,0.84
2005/9/13,0.845
2005/9/14,0.85
2005/9/15,0.848
2005/9/16,0.846
2005/9/19,0.845
2005/9/20,0.839
2005/9/21,0.83
2005/9/22,0.813
2005/9/23,0.808
2005/9/26,0.812
2005/9/27,0.8
2005/9/28,0.802
2005/9/29,0.809
2005/9/30,0.808
2005/10/10,0.799
2005/10/11,0.807
2005/10/12,0.806
2005/10/13,0.799
2005/10/14,0.784
2005/10/17,0.781
2005/10/18,0.782
2005/10/19,0.781
